Feature,Importance,Unnamed: 0,node,source,fa_score,la_score,abs_fa_score,abs_la_score,feature_name
"family_tuple_Count_('GBIF:5386', 'Fabaceae')",0.003532813737626521,397,"('GBIF:5386', 'Fabaceae')",family,-0.00877193,-0.276315789,0.00877193,0.2763157894736842,"family_tuple_Count_('GBIF:5386', 'Fabaceae')"
"class_tuple_Count_('GBIF:359', 'Mammalia')",0.003456408543548526,45,"('GBIF:359', 'Mammalia')",class,-0.016806723,-0.420168067,0.016806723,0.4201680672268907,"class_tuple_Count_('GBIF:359', 'Mammalia')"
"order_tuple_Count_('GBIF:1458', 'Orthoptera')",0.003420755064118351,113,"('GBIF:1458', 'Orthoptera')",order,-0.428571429,-0.142857143,0.4285714285714285,0.1428571428571428,"order_tuple_Count_('GBIF:1458', 'Orthoptera')"
"order_tuple_Count_('GBIF:798', 'Primates')",0.003331874705133563,150,"('GBIF:798', 'Primates')",order,0.1759259259259259,-0.37962963,0.1759259259259259,0.3796296296296296,"order_tuple_Count_('GBIF:798', 'Primates')"
LDATopics_L61,0.003278216089321666,7917,L61,tdt_lda,-0.088757396,-0.25443787,0.088757396,0.2544378698224852,LDATopics_L61
"family_tuple_Count_('GBIF:5510', 'Muridae')",0.003275799821810336,499,"('GBIF:5510', 'Muridae')",family,-0.128571429,-0.171428571,0.1285714285714285,0.1714285714285714,"family_tuple_Count_('GBIF:5510', 'Muridae')"
"genus_tuple_Count_('GBIF:2952066', 'Robinia')",0.003238032192212809,2063,"('GBIF:2952066', 'Robinia')",genus,-0.142857143,0.4285714285714285,0.1428571428571428,0.4285714285714285,"genus_tuple_Count_('GBIF:2952066', 'Robinia')"
BERTopics_B5,0.003235143379086027,7834,B5,tdt_bt,-0.220963173,-0.430594901,0.2209631728045325,0.4305949008498583,BERTopics_B5
LDATopics_L20,0.003234950925799844,7959,L20,tdt_lda,0.054347826,-0.369565217,0.054347826,0.3695652173913043,LDATopics_L20
BERTopics_B7,0.00314481722603244,7880,B7,tdt_bt,0.078947368,-0.131578947,0.078947368,0.131578947368421,BERTopics_B7
BERTopics_B20,0.002990274630033918,7887,B20,tdt_bt,-0.029411765,0.2941176470588235,0.0294117647058823,0.2941176470588235,BERTopics_B20
"genus_tuple_Count_('GBIF:2436440', 'Gorilla')",0.002984118899079013,1810,"('GBIF:2436440', 'Gorilla')",genus,0.875,0.5,0.875,0.5,"genus_tuple_Count_('GBIF:2436440', 'Gorilla')"
LDATopics_L17,0.002976071569660421,7931,L17,tdt_lda,-0.269230769,-0.482248521,0.2692307692307692,0.4822485207100592,LDATopics_L17
LDATopics_L18,0.002964219080801409,7925,L18,tdt_lda,-0.169902913,-0.483009709,0.1699029126213592,0.4830097087378641,LDATopics_L18
BERTopics_B17,0.002934891356292681,7858,B17,tdt_bt,-0.25,-0.263888889,0.25,0.2638888888888889,BERTopics_B17
"class_tuple_Count_('GBIF:216', 'Insecta')",0.002905978105899823,41,"('GBIF:216', 'Insecta')",class,0.006666667,-0.44,0.006666667,0.44,"class_tuple_Count_('GBIF:216', 'Insecta')"
LDATopics_L21,0.002902324496028732,7902,L21,tdt_lda,-0.149253731,-0.358208955,0.1492537313432835,0.3582089552238806,LDATopics_L21
"family_tuple_Count_('GBIF:3461', 'Unionidae')",0.002894743588055277,491,"('GBIF:3461', 'Unionidae')",family,-0.02,0.2,0.02,0.2,"family_tuple_Count_('GBIF:3461', 'Unionidae')"
"order_tuple_Count_('GBIF:640', 'Pinales')",0.002891412205438874,126,"('GBIF:640', 'Pinales')",order,0.02247191,-0.331460674,0.02247191,0.3314606741573033,"order_tuple_Count_('GBIF:640', 'Pinales')"
"family_tuple_Count_('GBIF:4689', 'Fagaceae')",0.002882540073284476,416,"('GBIF:4689', 'Fagaceae')",family,-0.083333333,-0.333333333,0.083333333,0.3333333333333333,"family_tuple_Count_('GBIF:4689', 'Fagaceae')"
LDATopics_L12,0.002847769371195003,7901,L12,tdt_lda,-0.049019608,-0.463235294,0.0490196078431372,0.4632352941176471,LDATopics_L12
"family_tuple_Count_('GBIF:3925', 'Pinaceae')",0.002796442370262292,412,"('GBIF:3925', 'Pinaceae')",family,-0.11,-0.325,0.11,0.325,"family_tuple_Count_('GBIF:3925', 'Pinaceae')"
"order_tuple_Count_('GBIF:1351', 'Apiales')",0.002793542321798756,153,"('GBIF:1351', 'Apiales')",order,0.088235294,-0.411764706,0.088235294,0.4117647058823529,"order_tuple_Count_('GBIF:1351', 'Apiales')"
"class_tuple_Count_('GBIF:367', 'Arachnida')",0.002785089485898486,52,"('GBIF:367', 'Arachnida')",class,0.1,-0.3625,0.1,0.3625,"class_tuple_Count_('GBIF:367', 'Arachnida')"
"family_tuple_Count_('GBIF:5343', 'Tortricidae')",0.002779345973704698,744,"('GBIF:5343', 'Tortricidae')",family,0.34375,0.1875,0.34375,0.1875,"family_tuple_Count_('GBIF:5343', 'Tortricidae')"
"genus_tuple_Count_('GBIF:3106738', 'Senecio')",0.002718182745090463,2349,"('GBIF:3106738', 'Senecio')",genus,0.6,0.4,0.6,0.4,"genus_tuple_Count_('GBIF:3106738', 'Senecio')"
"order_tuple_Count_('GBIF:691', 'Rosales')",0.002676992222642201,125,"('GBIF:691', 'Rosales')",order,0.097402597,-0.350649351,0.097402597,0.3506493506493506,"order_tuple_Count_('GBIF:691', 'Rosales')"
"genus_tuple_Count_('GBIF:2288378', 'Ellipsaria')",0.002666153338333289,1550,"('GBIF:2288378', 'Ellipsaria')",genus,-0.02,0.2,0.02,0.2,"genus_tuple_Count_('GBIF:2288378', 'Ellipsaria')"
"genus_tuple_Count_('GBIF:3241110', 'Gobio')",0.002665943991686587,1569,"('GBIF:3241110', 'Gobio')",genus,-1.0,1.0,1.0,1.0,"genus_tuple_Count_('GBIF:3241110', 'Gobio')"
LDATopics_L41,0.002664132664738682,7947,L41,tdt_lda,0.071428571,-0.313186813,0.071428571,0.3131868131868132,LDATopics_L41
LDATopics_L35,0.002604288394209147,7939,L35,tdt_lda,-0.122302158,-0.525179856,0.1223021582733813,0.5251798561151079,LDATopics_L35
LDATopics_L32,0.002590219770893314,7906,L32,tdt_lda,0.1981132075471698,-0.29245283,0.1981132075471698,0.2924528301886792,LDATopics_L32
"genus_tuple_Count_('GBIF:2882140', 'Castanea')",0.002587221412643442,1891,"('GBIF:2882140', 'Castanea')",genus,0.025,-0.225,0.025,0.225,"genus_tuple_Count_('GBIF:2882140', 'Castanea')"
"phylum_tuple_Count_('GBIF:52', 'Mollusca')",0.002579243947100037,10,"('GBIF:52', 'Mollusca')",phylum,0.046875,-0.28125,0.046875,0.28125,"phylum_tuple_Count_('GBIF:52', 'Mollusca')"
LDATopics_L2,0.002565240590954554,7919,L2,tdt_lda,0.119047619047619,-0.30952381,0.119047619047619,0.3095238095238095,LDATopics_L2
"order_tuple_Count_('GBIF:7225535', 'Brassicales')",0.002512590193471757,156,"('GBIF:7225535', 'Brassicales')",order,0.1721311475409836,-0.204918033,0.1721311475409836,0.2049180327868852,"order_tuple_Count_('GBIF:7225535', 'Brassicales')"
"family_tuple_Count_('GBIF:9614', 'Bovidae')",0.00249830175191643,433,"('GBIF:9614', 'Bovidae')",family,0.1607142857142857,-0.526785714,0.1607142857142857,0.5267857142857143,"family_tuple_Count_('GBIF:9614', 'Bovidae')"
"family_tuple_Count_('GBIF:5483', 'Hominidae')",0.00242527768395535,470,"('GBIF:5483', 'Hominidae')",family,0.1808510638297872,-0.191489362,0.1808510638297872,0.1914893617021276,"family_tuple_Count_('GBIF:5483', 'Hominidae')"
"genus_tuple_Count_('GBIF:2984538', 'Cannabis')",0.002358411470203182,1505,"('GBIF:2984538', 'Cannabis')",genus,-0.197674419,-0.279069767,0.1976744186046511,0.2790697674418604,"genus_tuple_Count_('GBIF:2984538', 'Cannabis')"
"order_tuple_Count_('GBIF:1459', 'Rodentia')",0.002353894944821605,158,"('GBIF:1459', 'Rodentia')",order,-0.057692308,-0.384615385,0.0576923076923076,0.3846153846153846,"order_tuple_Count_('GBIF:1459', 'Rodentia')"
"family_tuple_Count_('GBIF:3112', 'Brassicaceae')",0.002337364151529747,483,"('GBIF:3112', 'Brassicaceae')",family,-0.029761905,-0.31547619,0.029761905,0.3154761904761904,"family_tuple_Count_('GBIF:3112', 'Brassicaceae')"
"family_tuple_Count_('GBIF:3073', 'Poaceae')",0.002302327784851565,428,"('GBIF:3073', 'Poaceae')",family,0.077380952,-0.369047619,0.077380952,0.369047619047619,"family_tuple_Count_('GBIF:3073', 'Poaceae')"
"class_tuple_Count_('GBIF:196', 'Liliopsida')",0.00230058092312532,47,"('GBIF:196', 'Liliopsida')",class,0.047169811,-0.363207547,0.047169811,0.3632075471698113,"class_tuple_Count_('GBIF:196', 'Liliopsida')"
"order_tuple_Count_('GBIF:1370', 'Fabales')",0.002284656028112383,120,"('GBIF:1370', 'Fabales')",order,0.064705882,-0.247058824,0.064705882,0.2470588235294117,"order_tuple_Count_('GBIF:1370', 'Fabales')"
"order_tuple_Count_('GBIF:1369', 'Poales')",0.002264860691837172,123,"('GBIF:1369', 'Poales')",order,0.1021505376344086,-0.349462366,0.1021505376344086,0.3494623655913978,"order_tuple_Count_('GBIF:1369', 'Poales')"
LDATopics_L46,0.002229639680986698,7912,L46,tdt_lda,-0.251748252,-0.370629371,0.2517482517482518,0.3706293706293706,LDATopics_L46
LDATopics_L5,0.002224574639785783,7924,L5,tdt_lda,-0.171641791,-0.485074627,0.1716417910447761,0.4850746268656716,LDATopics_L5
"order_tuple_Count_('GBIF:1354', 'Fagales')",0.00221684087058579,130,"('GBIF:1354', 'Fagales')",order,-0.05,-0.36,0.05,0.36,"order_tuple_Count_('GBIF:1354', 'Fagales')"
LDATopics_L4,0.002211836810589259,7899,L4,tdt_lda,-0.110091743,-0.509174312,0.110091743119266,0.5091743119266054,LDATopics_L4
"family_tuple_Count_('GBIF:6652', 'Oleaceae')",0.002167345170083115,756,"('GBIF:6652', 'Oleaceae')",family,0.068181818,-0.25,0.068181818,0.25,"family_tuple_Count_('GBIF:6652', 'Oleaceae')"
BERTopics_B3,0.002146217961169057,7845,B3,tdt_bt,-0.25,-0.457317073,0.25,0.4573170731707317,BERTopics_B3
BERTopics_B11,0.002125858585478977,7840,B11,tdt_bt,-0.094017094,-0.314102564,0.094017094,0.3141025641025641,BERTopics_B11
"family_tuple_Count_('GBIF:9363', 'Craseonycteridae')",0.002092422018506673,680,"('GBIF:9363', 'Craseonycteridae')",family,0.0,0.5,0.0,0.5,"family_tuple_Count_('GBIF:9363', 'Craseonycteridae')"
LDATopics_L45,0.002082930718677783,7963,L45,tdt_lda,-0.195512821,-0.5,0.1955128205128205,0.5,LDATopics_L45
"genus_tuple_Count_('GBIF:2684241', 'Pinus')",0.002069165382620668,1435,"('GBIF:2684241', 'Pinus')",genus,0.0138888888888888,-0.326388889,0.0138888888888888,0.3263888888888889,"genus_tuple_Count_('GBIF:2684241', 'Pinus')"
"family_tuple_Count_('GBIF:6664', 'Salicaceae')",0.002054731086791381,418,"('GBIF:6664', 'Salicaceae')",family,0.34375,-0.0625,0.34375,0.0625,"family_tuple_Count_('GBIF:6664', 'Salicaceae')"
LDATopics_L9,0.002039186016846174,7914,L9,tdt_lda,0.08203125,-0.4375,0.08203125,0.4375,LDATopics_L9
"genus_tuple_Count_('GBIF:2439223', 'Rattus')",0.002037123333913016,1791,"('GBIF:2439223', 'Rattus')",genus,-0.052631579,-0.263157895,0.052631579,0.2631578947368421,"genus_tuple_Count_('GBIF:2439223', 'Rattus')"
LDATopics_L43,0.002019919436310386,7921,L43,tdt_lda,0.069444444,-0.421296296,0.069444444,0.4212962962962963,LDATopics_L43
LDATopics_L50,0.002011684482530044,7913,L50,tdt_lda,-0.127586207,-0.451724138,0.1275862068965517,0.4517241379310345,LDATopics_L50
"genus_tuple_Count_('GBIF:1037903', 'Graphoderus')",0.001991245987535699,1985,"('GBIF:1037903', 'Graphoderus')",genus,0.0,1.0,0.0,1.0,"genus_tuple_Count_('GBIF:1037903', 'Graphoderus')"
"order_tuple_Count_('GBIF:590', 'Scorpaeniformes')",0.001978493708476921,238,"('GBIF:590', 'Scorpaeniformes')",order,-0.25,0.1875,0.25,0.1875,"order_tuple_Count_('GBIF:590', 'Scorpaeniformes')"
"order_tuple_Count_('GBIF:414', 'Asterales')",0.001954020891548341,136,"('GBIF:414', 'Asterales')",order,-0.032051282,-0.442307692,0.032051282,0.4423076923076923,"order_tuple_Count_('GBIF:414', 'Asterales')"
"order_tuple_Count_('GBIF:547', 'Cyprinodontiformes')",0.001934266782969437,206,"('GBIF:547', 'Cyprinodontiformes')",order,0.1538461538461538,-0.076923077,0.1538461538461538,0.076923077,"order_tuple_Count_('GBIF:547', 'Cyprinodontiformes')"
BERTopics_B2,0.001914730684684713,7866,B2,tdt_bt,-0.157534247,-0.479452055,0.1575342465753424,0.4794520547945205,BERTopics_B2
LDATopics_L38,0.001911182781879856,7911,L38,tdt_lda,-0.393518519,-0.481481481,0.3935185185185185,0.4814814814814814,LDATopics_L38
LDATopics_L19,0.00191054802683634,7910,L19,tdt_lda,-0.214285714,-0.428571429,0.2142857142857142,0.4285714285714285,LDATopics_L19
LDATopics_L69,0.001888113678316139,7918,L69,tdt_lda,-0.034883721,-0.343023256,0.034883721,0.3430232558139535,LDATopics_L69
LDATopics_L34,0.001866725593863424,7935,L34,tdt_lda,0.01984127,-0.611111111,0.01984127,0.6111111111111112,LDATopics_L34
"genus_tuple_Count_('GBIF:8079058', 'Potentilla')",0.001859594511702479,2526,"('GBIF:8079058', 'Potentilla')",genus,0.5625,-0.25,0.5625,0.25,"genus_tuple_Count_('GBIF:8079058', 'Potentilla')"
"family_tuple_Count_('GBIF:7717', 'Solanaceae')",0.00185061633937686,485,"('GBIF:7717', 'Solanaceae')",family,0.38,-0.34,0.38,0.34,"family_tuple_Count_('GBIF:7717', 'Solanaceae')"
"order_tuple_Count_('GBIF:797', 'Lepidoptera')",0.00184219946359272,162,"('GBIF:797', 'Lepidoptera')",order,0.2430555555555555,-0.243055556,0.2430555555555555,0.2430555555555555,"order_tuple_Count_('GBIF:797', 'Lepidoptera')"
"genus_tuple_Count_('GBIF:1900140', 'Heliconius')",0.001826535526665949,2496,"('GBIF:1900140', 'Heliconius')",genus,1.0,0.3333333333333333,1.0,0.3333333333333333,"genus_tuple_Count_('GBIF:1900140', 'Heliconius')"
"family_tuple_Count_('GBIF:5473', 'Lycaenidae')",0.001822643217206693,663,"('GBIF:5473', 'Lycaenidae')",family,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,"family_tuple_Count_('GBIF:5473', 'Lycaenidae')"
"family_tuple_Count_('GBIF:6057', 'Tetranychidae')",0.001815219366019079,575,"('GBIF:6057', 'Tetranychidae')",family,0.090909091,0.090909091,0.090909091,0.090909091,"family_tuple_Count_('GBIF:6057', 'Tetranychidae')"
"genus_tuple_Count_('GBIF:9800657', 'Mus')",0.001804505502929724,1673,"('GBIF:9800657', 'Mus')",genus,-0.238095238,-0.142857143,0.238095238095238,0.1428571428571428,"genus_tuple_Count_('GBIF:9800657', 'Mus')"
"genus_tuple_Count_('GBIF:2685775', 'Pseudotsuga')",0.001776347113713075,2061,"('GBIF:2685775', 'Pseudotsuga')",genus,0.0,0.1666666666666666,0.0,0.1666666666666666,"genus_tuple_Count_('GBIF:2685775', 'Pseudotsuga')"
BERTopics_B14,0.001758029807565153,7841,B14,tdt_bt,-0.115384615,-0.340236686,0.1153846153846153,0.3402366863905325,BERTopics_B14
"family_tuple_Count_('GBIF:3065', 'Asteraceae')",0.001744124589644442,381,"('GBIF:3065', 'Asteraceae')",family,-0.052884615,-0.379807692,0.0528846153846153,0.3798076923076923,"family_tuple_Count_('GBIF:3065', 'Asteraceae')"
BERTopics_B21,0.001738589338470535,7871,B21,tdt_bt,-0.142857143,-0.30952381,0.1428571428571428,0.3095238095238095,BERTopics_B21
"genus_tuple_Count_('GBIF:2704173', 'Poa')",0.001727911941894056,1768,"('GBIF:2704173', 'Poa')",genus,0.238095238095238,-0.095238095,0.238095238095238,0.095238095,"genus_tuple_Count_('GBIF:2704173', 'Poa')"
"genus_tuple_Count_('GBIF:1820270', 'Lymantria')",0.001721868636099976,1585,"('GBIF:1820270', 'Lymantria')",genus,0.4545454545454545,-0.363636364,0.4545454545454545,0.3636363636363636,"genus_tuple_Count_('GBIF:1820270', 'Lymantria')"
"family_tuple_Count_('GBIF:3553', 'Gelechiidae')",0.001693623624668494,915,"('GBIF:3553', 'Gelechiidae')",family,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,"family_tuple_Count_('GBIF:3553', 'Gelechiidae')"
"genus_tuple_Count_('GBIF:3141844', 'Helminthotheca')",0.001674906423219185,2597,"('GBIF:3141844', 'Helminthotheca')",genus,-0.333333333,1.0,0.3333333333333333,1.0,"genus_tuple_Count_('GBIF:3141844', 'Helminthotheca')"
"genus_tuple_Count_('GBIF:7967293', 'Amblyomma')",0.001665400278307357,1452,"('GBIF:7967293', 'Amblyomma')",genus,0.25,-0.5,0.25,0.5,"genus_tuple_Count_('GBIF:7967293', 'Amblyomma')"
"order_tuple_Count_('GBIF:1414', 'Malpighiales')",0.001649775090726969,117,"('GBIF:1414', 'Malpighiales')",order,0.2346938775510204,-0.255102041,0.2346938775510204,0.2551020408163265,"order_tuple_Count_('GBIF:1414', 'Malpighiales')"
"family_tuple_Count_('GBIF:5547', 'Drosophilidae')",0.001646239039801015,419,"('GBIF:5547', 'Drosophilidae')",family,0.091836735,-0.173469388,0.091836735,0.173469387755102,"family_tuple_Count_('GBIF:5547', 'Drosophilidae')"
"family_tuple_Count_('GBIF:4532185', 'Erebidae')",0.001640937892121312,493,"('GBIF:4532185', 'Erebidae')",family,0.2307692307692307,-0.461538462,0.2307692307692307,0.4615384615384615,"family_tuple_Count_('GBIF:4532185', 'Erebidae')"
"family_tuple_Count_('GBIF:3346', 'Culicidae')",0.001627606766265312,496,"('GBIF:3346', 'Culicidae')",family,0.076923077,-0.038461538,0.076923077,0.0384615384615384,"family_tuple_Count_('GBIF:3346', 'Culicidae')"
"order_tuple_Count_('GBIF:1425', 'Ixodida')",0.001600720622133665,135,"('GBIF:1425', 'Ixodida')",order,0.1744186046511628,-0.558139535,0.1744186046511628,0.5581395348837209,"order_tuple_Count_('GBIF:1425', 'Ixodida')"
"phylum_tuple_Count_('GBIF:53', 'Bryozoa')",0.001597675003239731,38,"('GBIF:53', 'Bryozoa')",phylum,-1.0,1.0,1.0,1.0,"phylum_tuple_Count_('GBIF:53', 'Bryozoa')"
"genus_tuple_Count_('GBIF:2877951', 'Quercus')",0.001593867215387062,1440,"('GBIF:2877951', 'Quercus')",genus,-0.017045455,-0.380681818,0.0170454545454545,0.3806818181818182,"genus_tuple_Count_('GBIF:2877951', 'Quercus')"
"family_tuple_Count_('GBIF:6657', 'Sapindaceae')",0.001577959996692146,677,"('GBIF:6657', 'Sapindaceae')",family,0.1666666666666666,-0.242424242,0.1666666666666666,0.2424242424242424,"family_tuple_Count_('GBIF:6657', 'Sapindaceae')"
"genus_tuple_Count_('GBIF:2441047', 'Capra')",0.001560262218065241,1466,"('GBIF:2441047', 'Capra')",genus,0.1304347826086956,-0.413043478,0.1304347826086956,0.4130434782608695,"genus_tuple_Count_('GBIF:2441047', 'Capra')"
"order_tuple_Count_('GBIF:588', 'Pleuronectiformes')",0.001554355686657846,163,"('GBIF:588', 'Pleuronectiformes')",order,-0.066666667,-0.1,0.066666667,0.1,"order_tuple_Count_('GBIF:588', 'Pleuronectiformes')"
"genus_tuple_Count_('GBIF:3040183', 'Populus')",0.001545676091727833,1443,"('GBIF:3040183', 'Populus')",genus,0.3461538461538461,-0.115384615,0.3461538461538461,0.1153846153846153,"genus_tuple_Count_('GBIF:3040183', 'Populus')"
"kingdom_tuple_Count_('GBIF:4', 'Chromista')",0.001531086652451835,3,"('GBIF:4', 'Chromista')",kingdom,-0.102272727,-0.431818182,0.1022727272727272,0.4318181818181818,"kingdom_tuple_Count_('GBIF:4', 'Chromista')"
"genus_tuple_Count_('GBIF:2433357', 'Craseonycteris')",0.001524932602015551,1904,"('GBIF:2433357', 'Craseonycteris')",genus,0.0,0.5,0.0,0.5,"genus_tuple_Count_('GBIF:2433357', 'Craseonycteris')"
"genus_tuple_Count_('GBIF:3189801', 'Aesculus')",0.001518679074257085,1890,"('GBIF:3189801', 'Aesculus')",genus,0.6,-0.2,0.6,0.2,"genus_tuple_Count_('GBIF:3189801', 'Aesculus')"
"genus_tuple_Count_('GBIF:1522683', 'Drosophila')",0.001514034758182369,1444,"('GBIF:1522683', 'Drosophila')",genus,0.091836735,-0.173469388,0.091836735,0.173469387755102,"genus_tuple_Count_('GBIF:1522683', 'Drosophila')"
"family_tuple_Count_('GBIF:7824', 'Dytiscidae')",0.001512311503175811,718,"('GBIF:7824', 'Dytiscidae')",family,0.0,1.0,0.0,1.0,"family_tuple_Count_('GBIF:7824', 'Dytiscidae')"
"genus_tuple_Count_('GBIF:1768691', 'Conistra')",0.001499735372498098,1889,"('GBIF:1768691', 'Conistra')",genus,0.3666666666666666,0.1,0.3666666666666666,0.1,"genus_tuple_Count_('GBIF:1768691', 'Conistra')"
"family_tuple_Count_('GBIF:9678', 'Herpestidae')",0.001484921455025751,571,"('GBIF:9678', 'Herpestidae')",family,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,"family_tuple_Count_('GBIF:9678', 'Herpestidae')"
"genus_tuple_Count_('GBIF:2701072', 'Juncus')",0.001483730762111282,1821,"('GBIF:2701072', 'Juncus')",genus,0.3,-0.466666667,0.3,0.4666666666666667,"genus_tuple_Count_('GBIF:2701072', 'Juncus')"
"order_tuple_Count_('GBIF:809', 'Hemiptera')",0.001479727651678623,103,"('GBIF:809', 'Hemiptera')",order,0.2037037037037037,-0.37037037,0.2037037037037037,0.3703703703703703,"order_tuple_Count_('GBIF:809', 'Hemiptera')"
"order_tuple_Count_('GBIF:587', 'Perciformes')",0.001465267511628324,104,"('GBIF:587', 'Perciformes')",order,0.074257426,-0.485148515,0.074257426,0.4851485148514851,"order_tuple_Count_('GBIF:587', 'Perciformes')"
"family_tuple_Count_('GBIF:7015', 'Noctuidae')",0.001462578373058334,605,"('GBIF:7015', 'Noctuidae')",family,0.140625,-0.15625,0.140625,0.15625,"family_tuple_Count_('GBIF:7015', 'Noctuidae')"
"order_tuple_Count_('GBIF:933', 'Sapindales')",0.001458498778237178,122,"('GBIF:933', 'Sapindales')",order,0.1612903225806451,-0.387096774,0.1612903225806451,0.3870967741935484,"order_tuple_Count_('GBIF:933', 'Sapindales')"
"family_tuple_Count_('GBIF:8481', 'Platytroctidae')",0.001455120246778172,1328,"('GBIF:8481', 'Platytroctidae')",family,1.0,-1.0,1.0,1.0,"family_tuple_Count_('GBIF:8481', 'Platytroctidae')"
