"Topic	Words	Probabilities",,,,,,,,,,,,,,,,,,
"Topic 18	('coral'", 'corals', 'symbiodinium', 'bleaching', 'voolstra', 'reef', 'bacterial', 'symbiodiniaceae', 'verrucosa'," 'bleached')	(0.03975256570923996", 0.023519984536282682, 0.014308514356069507,0.014087548,0.011773148, 0.010108420393925843,0.009630349,0.008843818,0.008566928, 0.008476687287488831)
"Topic 19	('forest'", 'tree', 'forests', 'stand', 'tropical', 'productivity', 'continuity', 'springtail', 'functional'," 'diversity')	(0.013506881309475468",0.00932175,0.007947032,0.007432928,0.007107018,0.006694453,0.005884106,0.005742611,0.005294847, 0.004863055464111535)
"Topic 20	('mediterranean'", 'atlantic', 'sea', 'glaucum', 'grayi', 'clavata', 'genetic', 'cf', 'cytoplasmic'," 'lagoon')	(0.014017241216117849", 0.013478833812449841, 0.011907595794041017, 0.010073087024183544,0.009906988,0.009132895,0.00894995,0.008019969,0.006180698, 0.0061165731241142425)
"Topic 21	('shark'", 'sharks', 'bull', 'carcharhinus', 'tiger', 'pirog', 'pacific', 'leucas', 'galeocerdo'," 'western')	(0.03467612564724709", 0.023450429328351032, 0.017287425121140648,0.016159778, 0.010870444098848672,0.009246052,0.009038495,0.009031052,0.007429382, 0.007005695536665782)
"Topic 22	('coral'", 'pocillopora', 'chimerism', 'sea', 'marine', 'molecular', 'genetic', 'igv', 'conand'," 'rinkevich')	(0.008727158612402",0.008079699,0.0070679,0.00696139,0.006852969,0.006838525,0.006636304,0.006367841,0.00615902, 0.0057708563003234575)
"Topic 23	('fungal'", 'am', 'mycorrhizal', 'pinnatum', 'fungi', 'arbuscular', 'plant', 'otus', 'community'," 'watering')	(0.028798205685351335",0.017229978, 0.014282837289681818,0.012683719, 0.012670981009942604, 0.012437456215351994,0.009059822,0.006922352,0.006508856, 0.006394228089777305)
"Topic 24	('equal'", 'writing', 'editing', 'supporting', 'investigation', 'conceptualization', 'draft', 'methodology', 'lead'," 'curation')	(0.09215083338848505", 0.053193444400654565,0.051536163,0.038297294, 0.032246447769960926, 0.029203355481061292,0.028842261, 0.027438089470347843, 0.026778861309529917, 0.024064971073172934)
"Topic 25	('virulence'", 'parasite', 'parasites', 'infected', 'host', 'infections', 'hosts', 'infection', 'dispersal'," 'withinhost')	(0.029443677789363413", 0.018510990921133112, 0.014610773699269242, 0.014504440335089536, 0.014213902441044224, 0.011772819776605036, 0.011770449309342372, 0.011412175382255136,0.011396633, 0.010093721460307282)
"Topic 26	('turbidity'", 'warming', 'acclimation', 'sentis', 'prey', 'predator', 'temperature', 'highlatitude', 'lowlatitude'," 'thermal')	(0.013955026831853963", 0.012872509165813466, 0.012861045937539659, 0.011249766880683588,0.010852268,0.010328488,0.009871028,0.009374931,0.009162627, 0.007804224664296603)
"Topic 27	('pcr'", 'min', 'dna', '72c', 'primers', 'primer', 'kit', '95c', 'sequences'," 'sequencing')	(0.020916081421688274", 0.015257880283613134, 0.014987653898209887, 0.013830365024664134, 0.012534434627946359, 0.010976347464870471,0.010962499, 0.010473493660391301,0.009292528, 0.008873502364850568)
"Topic 28	('network'", 'networks', 'layout', 'metanetwork', 'nodes', 'trophic', 'abundances', 'node', 'metaweb'," 'link')	(0.020486427295938206",0.016941617, 0.010181996268926461,0.009518933,0.008063743,0.007635905,0.007382663,0.007262256,0.006559209, 0.0065136147173570245)
"Topic 29	('drought'", 'tree', 'neighbourhood', 'crowding', 'anomalies', 'doi', 'forest', 'tropical', 'leaf'," 'growth')	(0.015610439353363098",0.009328992,0.009297621,0.008717435,0.008173172,0.007601001,0.006900489,0.006474213,0.006461278, 0.006278276954657867)
"Topic 30	('fruit'", 'fly', 'tephritidae', 'zonata', 'arisanus', 'dorsalis', 'flies', 'duyck', 'bactrocera'," 'host')	(0.02307485144614255",0.022773076, 0.018003016574066503,0.017629081, 0.017589244359971706, 0.016703136414632253, 0.013730912012989017,0.012271575, 0.011955157125104197, 0.011166200626540635)
"Topic 31	('ficus'", 'wasp', 'wasps', 'pollinator', 'receptive', 'compton', 'pollinators', 'fig', 'sycoscapter'," 'nonpollinating')	(0.025325914510333718", 0.022212673238928234, 0.020064627913883946, 0.012525658298316563, 0.011845952089718713, 0.010035771441170245,0.009520504,0.008595672,0.008394781, 0.008249262034676949)
"Topic 32	('sphagnum'", 'peatland', 'peat', 'peatlands', 'microbial', 'vascular', 'mosses', 'metabolites', 'moss'," 'anatomical')	(0.043805923016273195", 0.017568034878653802,0.01675438, 0.013657398790074762, 0.011926326317101202,0.009577958,0.009051677,0.008529503,0.007827694, 0.0077516934652427415)
"Topic 33	('phylogenetic'", 'sse', 'diversification', 'phylogeny', 'redundancy', 'tdd', 'signal', 'trait', 'branch'," 'phylosignal')	(0.01982694279773582",0.012462137, 0.011312178856452563,0.009122432,0.007457363,0.007443289,0.006183817,0.005708295,0.005494168, 0.005375901249934344)
"Topic 34	('webs'", 'stability', 'food', 'web', 'multichannel', 'brose', 'trophic', 'biomass', 'consumers'," 'feeding')	(0.019926212170975816", 0.017205015251830033,0.016968285,0.015371982, 0.015075742467209162,0.00872823,0.007937335,0.007463054,0.006684939, 0.006518888552201748)
"Topic 35	('pedigree'", 'relatedness', 'inbreeding', 'strs', 'group', 'snps', 'sib', 'kinship', 'parentage'," 'genetic')	(0.01453121160779548",0.009897767,0.009741494,0.009324265,0.008740494,0.008004297,0.007177659,0.007116154,0.006797499, 0.006665182956558264)
"Topic 36	('pco2'", 'coralline', 'irradiance', 'calcication', 'photosynthesis', 'calcification', 'algae', 'corallioides', 'ph'," 'maerl')	(0.02409754405182452", 0.016968978125157016,0.016009311, 0.015889522279647576, 0.014131667923481271, 0.013818756418737456, 0.012672758890103527, 0.012426732611878289, 0.011680963201605684, 0.01152917666475762)
"Topic 37	('sperm'", 'fertilization', 'ageing', 'ejaculate', 'male', 'males', 'planeri', 'paternal', 'ph'," 'fluviatilis')	(0.057138391666687986", 0.014988717715724666, 0.014676363173318665, 0.013414033625154137, 0.010888533903958152,0.009412557,0.009201935,0.009055156,0.008674028, 0.008093466348052235)
"Topic 38	('epigenetic'", 'methylation', 'dna', 'epigenetics', 'thaliana', 'variation', 'arabidopsis', 'histone', 'genome'," 'inheritance')	(0.049646526742577364",0.037882038, 0.016138293942141717, 0.015444601719646647,0.009811788,0.007931251,0.007834154,0.007609949,0.007474666, 0.0072983344880641655)
"Topic 39	('tit'", 'tits', 'great', 'blue', 'laying', 'clutch', 'date', 'density', 'nest'," 'dhondt')	(0.03471237039893014",0.03218624, 0.028593693364265746,0.025582131, 0.021076976453127123, 0.019070967963812673, 0.014405244517357961, 0.012477607706741006,0.008994708, 0.008810493788772092)
"Topic 40	('birth'", 'mass', 'body', 'antler', 'date', 'yearling', 'gaillard', 'kg', 'roe'," 'deer')	(0.030041472318410294",0.023860985, 0.020678863753510367, 0.019541097480303977, 0.019197761129833874, 0.014335878615535976,0.012978624, 0.012784726487675452, 0.012089464390154953, 0.010919757837386485)
"Topic 41	('urban'", 'nonurban', 'urbanization', 'urbanisation', 'lncvr', 'phenotypic', 'adaptation', 'laying', 'cities'," 'fledglings')	(0.03677732472173481", 0.019576268129709955, 0.011865473967870185,0.009735112,0.009708684,0.008152685,0.006997642,0.006476718,0.005981041, 0.005567321294964058)
"Topic 42	('social'", 'network', 'farine', 'networks', 'transmission', 'individuals', 'gmm', 'associations', 'centrality'," 'ibex')	(0.0308877676131907",0.02016414, 0.012246354476349005, 0.012048378968483882,0.009034133,0.008133868,0.008018957,0.0064135,0.006311509, 0.006295479455969246)
"Topic 43	('edna'", 'metabarcoding', 'dna', 'motu', 'uvc', 'replicates', 'fish', 'polanco', 'juhel'," 'filtration')	(0.038697281133329986", 0.014845890069715071,0.010258372,0.00949064,0.009051208,0.007819146,0.007733617,0.007496768,0.006747091, 0.006486706264146888)
"Topic 44	('shredder'", 'streams', 'litter', 'leaf', 'decomposition', 'stream', 'aquatic', 'hyphomycetes', 'gessner'," 'shredders')	(0.01760507796890588", 0.015002650482572202,0.014313101, 0.013798031962754113,0.012769966, 0.012532825801492722, 0.011838159147458688, 0.010968110033699827, 0.010675533311160336, 0.009853012250870995)
"Topic 45	('demographic'", 'correlations', 'population', 'stochastic', 'elasticity', 'ipm', 'growth', 'elasticities', 'approximation'," 'vital')	(0.017920515138342183",0.013005254, 0.010710054421178127,0.009140264,0.009009254,0.008941977,0.008749611,0.008593686,0.008183344, 0.00792483307782304)
"Topic 46	('eelgrass'", 'marina', 'seagrass', 'meadows', 'zostera', 'edge', 'shoot', 'degradation', 'edges'," 'intertidal')	(0.022543409891342635", 0.022533589461897107,0.021011016,0.017744743, 0.017113622878367776, 0.011064766921739775,0.008792911,0.008671393,0.007549726, 0.007488117323991085)
"Topic 47	('weed'", 'fields', 'field', 'crop', 'arable', 'bocage', 'hedgerows', 'landscape', 'fidelity'," 'heterogeneity')	(0.01944531024572671",0.016972049, 0.016386059607150543, 0.015696498987926192, 0.013060991947518476, 0.010780172681397204,0.0098723,0.009439815,0.008795044, 0.008691414365599394)
"Topic 48	('parasites'", 'blood', 'plasmodium', 'leucocytozoon', 'parasite', 'haemosporidian', 'malaria', 'hepatocystis', 'host'," 'prevalence')	(0.01939144668666291", 0.017485161727737876, 0.016165837641109636, 0.014994902894669593, 0.014362765378113243, 0.012715348051081309, 0.012234636353362966,0.012169034, 0.011595706423044928, 0.010127707548180227)
"Topic 49	('senescence'", 'actuarial', 'nussey', 'life', 'ageing', 'age', 'survival', 'aging', 'gaillard'," 'mortality')	(0.03037967351019945",0.009303743,0.00834169,0.00809764,0.006647348,0.006361988,0.00633158,0.00621081,0.006153698, 0.005880736896108289)
"Topic 50	('alleles'", 'loci', 'allelic', 'allele', 'fst', 'sec', 'locus', 'na', 'heterozygosity'," 'fis')	(0.013182995475011013", 0.011179724751514132,0.008701458,0.008304172,0.00829066,0.007666082,0.007325081,0.007192905,0.006892284, 0.006763162501901074)
"Topic 51	('ant'", 'invicta', 'humile', 'ants', 'records', 'mexico', 'baits', 'bait', 'solenopsis'," 'dominance')	(0.0301067560559121",0.023901727,0.023211381,0.022280557, 0.014332731518450536, 0.011351719074380241,0.010968383,0.008974669,0.008361685, 0.007020944556911071)
"Topic 52	('solar'", 'bat', 'bats', 'wind', 'turbine', 'turbines', 'hedgerows', 'pipistrellus', 'pv'," 'flight')	(0.03396341470157088", 0.027717468326842867,0.021874693,0.020904068,0.017991881, 0.017616177695939254,0.016567441, 0.014631950075274772, 0.014286705197446039, 0.01256065914600567)
"Topic 53	('hg'", 'breeding', 'breeders', 'delity', 'survival', 'recruitment', 'skuas', 'age', 'reproduction'," 'partner')	(0.017492900157294492", 0.016924878809485507,0.010508716,0.0096755,0.009336542,0.008341601,0.008297907,0.007566002,0.007231188, 0.007174538280015349)
"Topic 54	('hal'", 'documents', 'ou', 'des', 'de', 'recherche', 'archive', 'research', 'tree'," 'france')	(0.011813402257839601", 0.011799342196603745, 0.010999421697427144,0.009823854,0.009501995,0.009306573,0.009063491,0.008060182,0.006802122, 0.006658639237721541)
"Topic 55	('ecm'", 'enzymatic', 'ectomycorrhizal', 'fungal', 'activities', 'courty', 'soil', 'garbaye', 'fungi'," 'bue')	(0.036752755327197725", 0.026138855543901225,0.02201257,0.018629059, 0.017170727960262824,0.016782356, 0.013444767332648556,0.012282879, 0.011921305502188267, 0.011911240445844627)
"Topic 56	('hybrid'", 'savanna', 'cerrado', 'reticulata', 'ecotype', 'gardetta', 'ecotypes', 'ecotonal', 'arcania'," 'divergence')	(0.01632198198053077", 0.014120112399844495, 0.013443500065648843, 0.013424936276900614, 0.013113718173355483, 0.012858657910405757, 0.010963450005150619, 0.010291794498106487,0.009996986, 0.009487023314788942)
"Topic 57	('lidar'", 'forest', 'forests', 'canopy', 'agb', 'confidential', 'sensing', 'copy', 'remote'," 'landsat')	(0.029806518014752235", 0.014391444084001255, 0.012229615462816255, 0.011193395544190486,0.009792763,0.009585963,0.009451371,0.008845561,0.008756657, 0.008332314712573447)
"Topic 58	('drought'", 'pmc', 'fir', 'landuse', 'forest', 'strata', 'douglas', 'manuscripts', 'funders'," 'climate')	(0.0264051984156131", 0.010122208757440784,0.009774104,0.009688365,0.009379781,0.008358348,0.008089496,0.00738053,0.007342349, 0.007251121899466166)
"Topic 59	('farming'", 'vineyards', 'organic', 'tillage', 'practices', 'vineyard', 'management', 'enemy', 'es'," 'conventional')	(0.02635521081169458",0.016462987, 0.015117873110418777, 0.011125439478442143, 0.010677240255054657, 0.010367275824490492,0.009105178,0.008159547,0.008056645, 0.0077179802826237535)
"Topic 60	('river'", 'ocn', 'drainage', 'synchrony', 'rinaldo', 'dendritic', 'networks', 'network', 'synchrograms'," 'downstream')	(0.023289837988573713",0.018407382, 0.015870056834091047, 0.014323605043461606,0.012668259,0.012496814, 0.012468912219660577,0.012022422,0.009837282, 0.009684157617731738)
"Topic 61	('csdms'", 'distributions', 'real', 'virtual', 'auc', 'climate', 'distribution', 'tss', 'climatic'," 'maxent')	(0.020144582473749482", 0.014817333617938747, 0.013051243088404748, 0.012239017329115042, 0.011630043910711088,0.00973873,0.008863288,0.008747589,0.006666845, 0.005821948452479217)
"Topic 62	('alien'", 'monetary', 'impacts', 'costs', 'evans', 'bird', 'kumschick', 'severe', 'biodiversity'," 'eicat')	(0.05853717040632942",0.041626853,0.040009951,0.033223361, 0.025079876701655228,0.01780827, 0.017770616964390674,0.016781092, 0.015711245788720154, 0.015091888367784521)
"Topic 63	('primer'", 'sets', 'bat', 'metabarcoding', 'coi', 'dna', 'zeale', 'primers', 'reads'," 'elbrecht')	(0.03855093820344347",0.021638973, 0.015515919150650783, 0.013764555851316024, 0.013132513264457493, 0.011864390262966538,0.011463557, 0.011303092513627752, 0.011300948262049618, 0.010675112896302585)
"Topic 64	('butterfly'", 'butterflies', 'road', 'sng', 'pl', 'pastures', 'garden', 'semi', 'rd'," 'landscape')	(0.022564563713392063", 0.014850046676333453, 0.014614287698560154,0.013481491, 0.010324808165803088,0.009707254,0.009474744,0.009322713,0.009295476, 0.00887481638098215)
"Topic 65	('horn'", 'allometry', 'horns', 'ontogenetic', 'chamois', 'allometric', 'body', 'static', 'mass'," 'length')	(0.04562843902093929", 0.025426290566249104, 0.021056755670846795, 0.019253866899856014,0.017084211, 0.016576007018389762, 0.013390429343255345, 0.013221797031435481, 0.012560982780238178, 0.010319764267030324)
"Topic 66	('dominance'", 'facilitation', 'bef', 'michalet', 'callaway', 'functioning', 'dominant', 'productivity', 'npk'," 'gradients')	(0.013817549995143006", 0.010086473733865616,0.009057376,0.007978805,0.007754723,0.007387727,0.007340287,0.006839048,0.006170422, 0.005738892521277567)
"Topic 67	('forest'", 'bugmann', 'mortality', 'calibration', 'forclim', 'dgvms', 'models', 'tree', 'model'," 'vegetation')	(0.014679546366235594",0.012950931, 0.011174664399872076, 0.010167526480319853,0.009337588,0.008638134,0.007565209,0.007324909,0.007246645, 0.005959196144964185)
"Topic 68	('antarctic'", 'sea', 'kerguelen', 'oligobrachia', 'fuligineum', 'ocean', 'cplclade', 'sequences', 'deep'," 'polar')	(0.035765561103542905", 0.012173800314479764, 0.011581273630538774,0.009355512,0.009196147,0.008316224,0.007884082,0.007169845,0.007149973, 0.006997024193734351)
"Topic 69	('marine'", 'mpas', 'plan', 'planning', 'plans', 'conservation', 'policy', 'climate', 'change'," 'maritime')	(0.025777012635415843", 0.019531310038558455,0.01926846, 0.016234929696463507, 0.013221578166619783, 0.011888451481402966, 0.010264889155967804,0.009841868,0.009239783, 0.008735714091681168)
"Topic 70	('rattus'", 'musculus', 'rodent', 'senegal', 'commensal', 'rodents', 'natalensis', 'rats', 'granjon'," 'dalecky')	(0.026921126835036592",0.01894829, 0.014263743915503672, 0.013805906812394285,0.013277976, 0.013133281579100252,0.013105078, 0.012776671079631367, 0.012615379350463488, 0.009819665878558861)
"Topic 71	('penguins'", 'cherel', 'king', 'penguin', '13c', 'fur', '15n', 'blood', 'antarctic'," 'winter')	(0.037237411285640024",0.035183711, 0.023595904743085858, 0.021310945962485856, 0.021289994958764172, 0.021217436496347563, 0.018711062078625506, 0.018248052763475187, 0.017540934882044112, 0.016616265674821083)
"Topic 72	('tlr'", 'nobilis', 'tlr4', 'rudis', 'mmd', 'mmm', 'receptor', 'polymorphism', 'tolllike'," 'receptors')	(0.04792327716809549",0.022838775, 0.021623518601144476, 0.016594292487216465, 0.014729004555665235, 0.014089493621221529, 0.012460452428768727, 0.010913801972529159, 0.010855797197129709, 0.009286830939396959)
"Topic 73	('santomea'", 'yakuba', 'drosophila', 'bcyak', 'pigmentation', 'ventral', 'introgressed', 'matute', 'introgression'," 'branches')	(0.04811728730032535",0.046668807, 0.024422233540783874, 0.021106164317635342,0.018037518, 0.014791280157731927, 0.014580014966500576, 0.012838655799925183,0.011057622, 0.010701159183395727)
"Topic 74	('courtship'", 'song', 'mate', 'drosophila', 'males', 'male', 'melanogaster', 'sexual', 'asymmetry'," 'prolongata')	(0.022430106377921203",0.019932791, 0.018233718442177037,0.01795088, 0.014048403298052682, 0.013692605788982846, 0.013404775328522836, 0.013103355071119309, 0.012632275021564889, 0.011217187342234295)
"Topic 75	('deer'", 'roe', 'home', 'capreolus', 'fawns', 'fawn', 'range', 'bedsite', 'habitat'," 'homerange')	(0.0317570872263423", 0.030192673766096852, 0.019458887716072782, 0.013853223031389162, 0.013232809116309547,0.010886377,0.007121777,0.006924752,0.005829507, 0.005394687046975236)
"Topic 76	('movement'", 'benhamou', 'biologging', 'algorithm', 'modes', 'home', 'turning', 'animal', 'phases'," 'behavioural')	(0.016678194184831192", 0.010534900245271492, 0.010256016587616488, 0.010229738641408305,0.01002908,0.009881205,0.009671006,0.009447292,0.008208894, 0.007788721723846239)
"Topic 77	('nonbreeding'", 'seabirds', 'niche', 'seabird', 'breeding', 'migrants', 'segregation', 'sgdp', 'migration'," 'cdp')	(0.016519939463853852",0.01591302, 0.012437476194712476, 0.011979866819491656, 0.010331688166964002,0.009038851,0.008352216,0.007451866,0.007366412, 0.007345882547819077)
"Topic 78	('fire'", 'fwi', 'fires', 'escaped', 'burnt', '83', 'applications', 'wildfire', 'ha'," 'weekly')	(0.05714071578650835", 0.028159682973435306,0.027268833,0.019742367, 0.017665630863139912, 0.014070255118881343, 0.013073069992652666,0.011998135, 0.010325252186825309, 0.01011989806104576)
"Topic 79	('beetle'", 'saproxylic', 'beetles', 'laos', 'plantations', 'deadwood', 'energy', 'ambient', 'chouangthavy'," 'dung')	(0.026894306548821977", 0.018330141242748493, 0.017384329099061104, 0.014595208341421022,0.009059084,0.008972741,0.008759366,0.007056093,0.006663528, 0.006186310172791884)
"Topic 80	('hal'", 'documents', 'ou', 'orcid', 'archive', 'recherche', 'id', 'de', 'des'," 'france')	(0.014180237478648269", 0.014049139811373903, 0.013096697315541314, 0.011721040745018941, 0.010791639352791432, 0.010407994437053066,0.010302357,0.009505837,0.009212109, 0.008896554621501518)
"Topic 81	('geese'", 'neck', 'barnacle', 'snow', 'sighting', 'goslings', 'autumn', 'moult', 'migratory'," 'survival')	(0.04180183914050541", 0.019265689149391953, 0.013589588191112197, 0.013441417872068612, 0.013060611837805677,0.012957514,0.012198416, 0.010727242470960465, 0.010295653759901303, 0.010041545533923252)
"Topic 82	('urbanization'", 'spider', 'web', 'spiders', 'orb', 'webbuilding', 'urban', 'vollrath', 'mesh'," 'webs')	(0.029195663581503554",0.022120925, 0.021318491630778546, 0.020563964531831076, 0.011112760466563603, 0.010768234980731397, 0.010286051176100047, 0.010243119006015829,0.009825588, 0.009208693058714258)
"Topic 83	('shoaling'", 'fish', 'feces', 'solitary', 'triostegus', 'stomach', 'absorption', 'egestion', 'shoals'," 'coral')	(0.027157977137268523", 0.023992957836237054, 0.022699855896135008, 0.020237682552176114, 0.019928814002013323, 0.019104189073357855,0.016342277, 0.014398290526960091, 0.012872153496756196, 0.01241920069872287)
"Topic 84	('turtles'", 'nesting', 'turtle', 'feeding', 'patch', 'foraging', 'currents', 'dalleau', 'output'," 'green')	(0.04342487752888801",0.035025611,0.033788188,0.0164933,0.016427457,0.015260641, 0.014075332630190337, 0.013372357541673024, 0.011909915943333023, 0.011791793377799177)
"Topic 85	('light'", 'crown', 'capture', 'rbdi', 'mixtures', 'foliated', 'architectural', 'overyielding', 'tree'," 'cwmco')	(0.031805074522876106",0.026743175, 0.013762040113548497, 0.013609585525237663,0.013096235, 0.012329470750362061,0.011214703,0.009928252,0.009908122, 0.009502748401517705)
"Topic 86	('https'", 'statement', 'orcid', 'conflict', 'interest', 'references', 'authors', 'repository', 'manuscript'," 'declare')	(0.010933348588266303",0.009408975,0.008427988,0.007707708,0.007603128,0.007078418,0.005715986,0.005538206,0.005425198, 0.0053822330472373245)
"Topic 87	('snails'", 'shell', 'morphs', 'tide', 'ng', 'snail', 'shore', 'malaccana', 'morph'," 'trail')	(0.03196194009161631",0.017230011, 0.016300316433576257, 0.014081215041665512, 0.013127811595883927, 0.012833516832365024, 0.011598665663536007,0.011226901, 0.010981932640064236, 0.010633299104104672)
"Topic 88	('microbial'", 'functional', 'tph', 'martiny', 'otus', 'microbes', 'fuel', 'microbiology', 'hydrocarbondegrading'," 'tphkg')	(0.02076950699190373",0.009815006,0.008304237,0.008118349,0.007431731,0.00720261,0.006644995,0.006544519,0.00605079, 0.0055304322343854954)
"Topic 89	('pesticide'", 'pesticides', 'substances', 'fauna', 'insecticides', 'fungicides', 'soil', 'pelosi', 'beaumelle'," 'herbicides')	(0.03686250214506845", 0.032776848410810196, 0.021631623073245926, 0.017932551522042255, 0.012956902234088356, 0.012378341408286765, 0.012349521830550145, 0.011014279036878478, 0.010032268894431765, 0.009713444989631476)
"Topic 90	('orcid'", 'https', 'library', 'online', 'wiley', 'oa', 'governed', 'applicable', 'articles'," 'onlinelibrarywileycomtermsandconditions')	(0.025696532064846914",0.019752995, 0.015135334405424628, 0.014101947516994657,0.012893435, 0.011770130844360956,0.011698309,0.01149152, 0.011454767067008348, 0.011085109182099819)
"Topic 91	('stocking'", 'salmon', 'genetic', 'perrier', 'salmo', 'atlantic', 'stocked', 'salar', 'charr'," 'restocking')	(0.0370888568634972", 0.028494555460395556,0.014132917, 0.013840496351801982, 0.013744995704843112, 0.013316118519835133, 0.012718293944899118, 0.012662744971346769, 0.012315482807648031, 0.010901998249228094)
